,Danish,English,Da_ARI,En_ARI,Avg_ARI
5024,Kan De?,Can you?,-6.300000000000001,-3.9450000000000003,-5.1225000000000005
5111,Det er punkt 9.,I refer to point 9.,-5.300000000000001,-4.800000000000001,-5.050000000000001
5951,Det er vi med på.,That it is what we are doing.,-6.683999999999999,-2.4542857142857173,-4.569142857142858
1473,Nej.,No.,-2.09,-6.800000000000001,-4.445
2223,Hvad skal vi så gøre nu?,So what are we to do now?,-3.5150000000000006,-5.145714285714284,-4.330357142857142
7696,Det er ikke en kvote!,It is not a quota!,-2.9160000000000004,-5.742000000000001,-4.329000000000001
9560,Hvem er det?,So who is this then?,-4.229999999999997,-3.857999999999997,-4.043999999999997
2225,Hvad skal vi gøre nu?,What are we to do now?,-2.9160000000000004,-5.085000000000001,-4.000500000000001
7565,Vi kan løse det.,We can deal with it.,-4.122500000000002,-3.857999999999997,-3.9902499999999996
2294,I dag er de langt væk.,By now they are far away.,-5.085000000000001,-2.729999999999997,-3.907499999999999
5984,Det er godt.,That is all to the good.,-4.229999999999997,-3.5150000000000006,-3.8724999999999987
1414,Det er vi alle enige i.,We all agree on this.,-4.300000000000001,-2.9160000000000004,-3.6080000000000005
1949,I 1996 var det steget til 50%.,In 1996 it was 50%.,-1.7814285714285738,-4.800000000000001,-3.2907142857142873
7485,Det mener jeg ikke.,I do not think so.,-0.5899999999999999,-5.742000000000001,-3.1660000000000004
9915,"Nej, det gør det ikke!","No, it does not!",-1.9740000000000002,-4.122500000000002,-3.0482500000000012
2169,Og nu Erika.,And now the Erika.,-4.229999999999997,-1.7674999999999983,-2.9987499999999976
3403,Også den har vi fået.,This is in place too.,-2.9160000000000004,-2.9160000000000004,-2.9160000000000004
3405,Også det har de gjort.,It did this as well.,-1.9740000000000002,-3.857999999999997,-2.9159999999999986
1657,Jeg tror det ikke.,I do not believe so.,-1.7674999999999983,-3.857999999999997,-2.8127499999999976
9389,Men intet er tabt.,But all is not lost.,-1.7674999999999983,-3.857999999999997,-2.8127499999999976
4131,Sådan kan det gå.,Such is life.,-2.9450000000000003,-2.66,-2.8025
2515,"Jeg har en kopi, hvis De vil se det.",I can show you a copy if you wish.,-2.2766666666666637,-3.323333333333334,-2.799999999999999
6968,Gør vi nok?,Are we doing enough?,-5.800000000000001,0.5874999999999986,-2.606250000000001
7161,Er det for tung en byrde?,Is this too much of a burden?,-2.729999999999997,-2.4542857142857173,-2.592142857142857
4628,I 1998 havde vi 55 mord.,"In 1998, we had 55 murders.",-3.5150000000000006,-1.1600000000000001,-2.3375000000000004
3459,Det er vi nødt til at råde bod på.,We have to remedy that.,-3.323333333333334,-1.032,-2.177666666666667
9336,Vi må få sat gang i den debat.,We need to open that debate.,-3.8887500000000017,-0.375,-2.131875000000001
3457,Vi er nødt til at få dette på plads.,We have to get this right.,-2.2766666666666637,-1.9450000000000003,-2.110833333333332
6840,Save,SAVE,-2.09,-2.09,-2.09
196,Det er på sin vis ærgerligt.,"This is a pity, in a sense.",-0.375,-3.8000000000000007,-2.0875000000000004
3196,Har vi nogle tal?,Do we have any figures?,-2.9450000000000003,-1.032,-1.9885000000000002
7502,Det er lykkedes hos os.,It worked for us.,-1.032,-2.9450000000000003,-1.9885000000000002
5682,Han er en farlig mand.,He is a dangerous man.,-1.9740000000000002,-1.9740000000000002,-1.9740000000000002
9655,Hold op med at lyve.,Tell the truth for once.,-3.857999999999997,-0.08999999999999986,-1.9739999999999984
9919,Det har De nemlig ikke!,"No, you have not done so.",-1.032,-2.729999999999997,-1.8809999999999985
600,Og nu til indholdet.,Now to the form.,0.5874999999999986,-4.122500000000002,-1.7675000000000018
5721,Det er vores pligt.,That is our duty.,-0.5899999999999999,-2.9450000000000003,-1.7675
3743,Lad os være ærlige.,Let us be honest.,-0.5899999999999999,-2.9450000000000003,-1.7675
3870,Where is the beef?,Where is the beef?,-1.7674999999999983,-1.7674999999999983,-1.7674999999999983
88,Vi stemte derefter om det.,We then put it to a vote.,1.7940000000000005,-5.145714285714284,-1.6758571428571418
3899,Den har meget få.,They have very little of it.,-2.9450000000000003,-0.375,-1.6600000000000001
6410,Nu har de forstået EU.,"They have now got to grips with ""EU"" .",-1.9740000000000002,-1.2299999999999969,-1.6019999999999985
131,Dette er ikke for meget forlangt.,It is not a lot to ask.,3.5500000000000007,-6.491428571428573,-1.470714285714286
1332,Og til hvad nytte?,With what aim?,-1.7674999999999983,-1.0899999999999999,-1.428749999999999
9341,"Det er sådan, det skal være.",That is the way it should be.,-0.375,-2.4542857142857173,-1.4146428571428586
2793,"Det er det ord, jeg taler om.",That is the one word I am talking about.,-2.4542857142857173,-0.18333333333333357,-1.3188095238095254
2865,Den skal være kendt.,It must be known.,0.5874999999999986,-2.9450000000000003,-1.1787500000000009
5274,Det er blevet klart!,We all know that!,0.5874999999999986,-2.9450000000000003,-1.1787500000000009
8656,Det er ikke rigtigt!,This is not the case!,0.5874999999999986,-2.9160000000000004,-1.164250000000001
138,Jeg stemte for.,"My vote was ""in favour"" .",0.4800000000000004,-2.729999999999997,-1.1249999999999982
5031,Jeg beder Dem fatte Dem i korthed.,I would ask him to be brief.,0.9100000000000001,-3.1271428571428572,-1.1085714285714285
7992,Det tilkommer ikke EU.,It has no right to do so.,2.942499999999999,-5.145714285714284,-1.1016071428571426
2202,En stor tak for det.,Many thanks for this.,-3.857999999999997,1.7650000000000006,-1.0464999999999982
1785,"2, og 138, stk. 4.",These are both about voting.,-5.742000000000001,3.678000000000001,-1.032
4351,Det tror vi. Det vil vi tro.,We really hope and believe so.,-3.1271428571428572,1.1950000000000003,-0.9660714285714285
5972,Der er rigelig tid.,There is time.,-0.5899999999999999,-1.0899999999999999,-0.8399999999999999
8866,"Vi må handle nu, inden det er for sent.","We have to act now, before it is too late.",-0.706666666666667,-0.8870000000000005,-0.7968333333333337
5664,Og det er ikke et tilfælde.,And this is not pure chance.,-1.1600000000000001,-0.375,-0.7675000000000001
147,De råbte mig heller ikke op.,You did not call me either.,-0.375,-1.1600000000000001,-0.7675000000000001
1562,Vi er nødt til at gøre noget ved det.,We need to do something about it.,-1.7533333333333303,0.23714285714285666,-0.7580952380952368
3169,Det sker ikke så tit.,This is not the usual state of affairs.,-2.9160000000000004,1.4100000000000001,-0.7530000000000001
136,Tak.,Thank you very much.,-2.09,0.5874999999999986,-0.7512500000000006
815,"Mange tak, hr.","Thank you very much, Mr Cox.",-1.0899999999999999,-0.375,-0.7324999999999999
6623,Det er efter min mening godt.,I believe that is a good thing,0.41000000000000014,-1.7814285714285738,-0.6857142857142868
2619,Den var meget lille.,It was very small.,0.5874999999999986,-1.7674999999999983,-0.5899999999999999
2752,Dette er en vigtig opgave.,This is a major task.,1.7940000000000005,-2.9160000000000004,-0.5609999999999999
5315,"Jeg tror, han har ret.",I think that he is correct in this regard.,-1.9740000000000002,0.8633333333333333,-0.5553333333333335
62,"Vi ved ikke, hvad der sker.",We do not know what is happening.,-1.1600000000000001,0.23714285714285666,-0.46142857142857174
5957,Men det vil vi tale om en anden dag.,We will talk about this on another day.,-2.2766666666666637,1.4100000000000001,-0.4333333333333318
7903,Det er nødvendigt at sige det!,This needs to be said!,1.1950000000000003,-1.9740000000000002,-0.38949999999999996
1679,Og hvad skal der så ske?,And what exactly should be done?,-3.5150000000000006,2.7650000000000006,-0.375
5698,Hvem kan nu ønske sig det?,Who would want this to happen?,-1.9450000000000003,1.1950000000000003,-0.375
150,"Cox, jeg så ikke, at De anmodede om ordet.",I did not see you asking to speak.,0.8633333333333333,-1.5337499999999977,-0.3352083333333322
6080,Det kommer vi jo også til at tale videre om.,There is more to be said on that score.,0.054999999999999716,-0.706666666666667,-0.32583333333333364
7909,De tager fejl.,They are wrong.,-1.0899999999999999,0.4800000000000004,-0.3049999999999997
5403,Det må De undskylde.,Do forgive me.,0.5874999999999986,-1.0899999999999999,-0.25125000000000064
9899,Blot et par stikord.,Just a few main points.,0.5874999999999986,-1.032,-0.22225000000000072
101,Det har vi godkendt.,We have agreed to this.,0.5874999999999986,-1.032,-0.22225000000000072
7120,Jeg beder om støtte.,I ask for your support.,0.5874999999999986,-1.032,-0.22225000000000072
7176,"Jeg synes, at vi skal beholde denne.",I think we need to retain it.,2.2557142857142836,-2.4542857142857173,-0.09928571428571686
3401,Det har vi allerede fået.,This has now been done.,0.8520000000000003,-1.032,-0.08999999999999986
3745,Der er nu gået fire måneder.,We are now four months down the line.,-0.375,0.2325000000000017,-0.07124999999999915
2790,"Jeg håber, at vi kan finde en løsning.",I hope that we can thrash this out.,0.8212499999999991,-0.9450000000000003,-0.06187500000000057
5399,Hvis De accepterer ...,If you ratify ...,2.942499999999999,-2.9450000000000003,-0.0012500000000006395
2195,De 15 er åbenbart ikke nok.,The 15 clearly do not suffice.,-1.1600000000000001,1.1950000000000003,0.01750000000000007
9098,Det bør fru Lucas også gøre.,Mrs Lucas should do the same.,-0.375,0.41000000000000014,0.01750000000000007
2085,Nu er der brug for handling.,What is now needed is action.,-0.375,0.41000000000000014,0.01750000000000007
3920,Det skal vi passe på med.,We should be careful about this.,-2.729999999999997,2.7650000000000006,0.017500000000001847
5620,Lad os lære af fortiden.,Let us learn the lessons of the past.,-0.08999999999999986,0.2325000000000017,0.07125000000000092
4543,"Jeg håber, det lykkes.",I hope that it works out.,2.942499999999999,-2.729999999999997,0.10625000000000107
9563,Vi er helt enige i det sidste.,We could not agree more with the latter.,-1.7814285714285738,1.9987500000000011,0.10866071428571367
6677,Hvad skal vi gøre med pengene?,What is to be done with this money?,1.1950000000000003,-0.9450000000000003,0.125
4623,Nu angriber man sjælen.,"Now, it is the soul.",4.120000000000001,-3.857999999999997,0.131000000000002
9782,Hvorfor nævner jeg det?,And do you know why?,4.120000000000001,-3.857999999999997,0.131000000000002
559,"De har vækst, men regnet i BNP.","They are growing, but only in terms of GDP.",-1.1085714285714268,1.3866666666666667,0.13904761904761997
2229,"Hvad er det, vi har brug for nu og her?",So what do we need to happen immediately?,-2.3000000000000007,2.5874999999999986,0.14374999999999893
141,Det kan der ikke laves om på.,There is no room for amendments.,-2.4542857142857173,2.7650000000000006,0.15535714285714164
6919,I dag har vi nået enden på et langt forløb.,"Today, we have arrived at the end of a long road.",-0.41600000000000037,0.7690909090909095,0.17654545454545456
7934,Det vil ikke svække hr.,They will not weaken Mr Haider and the FPÖ.,-1.032,1.3866666666666667,0.17733333333333334
9743,"Vi råder over 1,27% af EU's BNP.",We have 1.27% of the Community' s GDP.,-0.4357142857142833,0.8212499999999991,0.19276785714285793
2295,"Det er et mirakel, at de blev reddet.",It is a miracle that they were saved.,0.2325000000000017,0.2325000000000017,0.2325000000000017
9809,Den er ikke tydelig.,There is no obvious way.,0.5874999999999986,-0.08999999999999986,0.24874999999999936
143,Det blev ikke til noget.,That did not happen.,-0.08999999999999986,0.5874999999999986,0.24874999999999936
9914,Indgyder det mig håb for år 2000?,Does that give me hope for the year 2000?,0.23714285714285666,0.33999999999999986,0.28857142857142826
5290,Også det kan lade sig gøre.,That too is feasible.,-1.1600000000000001,1.7650000000000006,0.3025000000000002
1678,Her skal der således ske meget.,So a great deal has to be done in this area.,1.9800000000000004,-1.3718181818181812,0.30409090909090963
8663,"Jeg tror også, at det er godt.",I believe that this is actually a good thing.,-1.7814285714285738,2.43333333333333,0.3259523809523781
2173,Nu har vi resultatet.,And this is the result.,1.7650000000000006,-1.032,0.36650000000000027
7688,"Det er rigtig godt, og vi glæder os over det.","This is very good, and we are pleased to see it.",0.5259999999999998,0.34090909090908994,0.43345454545454487
993,"Mange tak, hr.","Thank you very much, Mr Radwan.",-1.0899999999999999,1.9800000000000004,0.4450000000000003
2473,Uvejr i Europa,Storms in Europe,-1.0899999999999999,2.0500000000000007,0.4800000000000004
8115,"Tak, hr. Wurtz.","Thank you, Mr Wurtz.",0.4800000000000004,0.5874999999999986,0.5337499999999995
3496,Der er en ny Kommission.,There is now a new Commission.,-0.08999999999999986,1.1950000000000003,0.5525000000000002
5686,Vi er faktisk rystede.,"In fact, we were shaken by it.",2.942499999999999,-1.7814285714285738,0.5805357142857126
2870,Den skal være synlig.,It must be visible.,1.7650000000000006,-0.5899999999999999,0.5875000000000004
