Vil dette faktum optage os på et tidspunkt?|||When will we debate that?
Vi vil have en reel konkurrencekultur i EU.|||We want a true culture of competition in Europe.
Markedet har brug for regler for at kunne fungere.|||In order to function, the market needs rules.
Hvis den indsats forfejler, skal en myndighed gribe ind.|||If this comes to nothing, then the government has to step in.
Markedet er ikke noget mål i sig selv. Det bør tjene til at forbedre menneskets vilkår.|||The market is not an end in itself; it must help to improve the human condition.
Hvordan sikrer vi, at vi får den ulovlige statsstøtte tilbagebetalt?|||How do we ensure that unlawful state aid is paid back?
Det, der bliver gjort nu, er sandsynligvis meget vigtigt, men det er stadig ikke nok.|||What is being done may well be very important, but it is still not sufficient.
Det er det, der har givet os inspiration til at foreslå det samme med hensyn til statsstøtten.|||It was this which inspired us to propose the same thing with regard to state aid.
Markedet satser på kort sigt og en hurtig indtjening.|||The market favours the short term and immediate profits.
Det ville være en stor fejltagelse at udelukke enhver offentlig støtte.|||It would be a serious mistake to eliminate all public aid.
En anden ting er spørgsmålet om, hvad vi gør, når statsstøtten erklæres ulovlig.|||Another issue is that of what we are to do when state aid is declared unlawful.
De har vist os vejen, hr. Monti, med en resultattavle vedrørende det indre marked.|||You have shown us the way, Mr Monti, with the single market scoreboard.
Burde dette faktum virkelig ikke optage vores drøftelse?|||Should we not be discussing this issue?
Ændringsforslag 6 og 7 fra ordføreren bør derfor bakkes op.|||The rapporteur' s Amendments Nos 6 and 7, therefore, deserve our support.
Det er vejen frem for at sikre ensartede konkurrencevilkår.|||This is the way forward if we are to ensure uniform conditions of competition.
Det går ud over erhvervslivets retssikkerhed.|||This would be at the expense of legal certainty within industry.
Vi europæiske socialdemokrater går ind for en markedsøkonomi med et socialt formål.|||We European Socialists are in favour of a market economy with a social purpose.
Internet er ikke et produkt, der stammer fra markedet, men resultatet af forskning finansieret af USA's hær.|||The Internet is not a product of the market, but the result of research financed by the American army.
Vi ser den førte konkurrencepolitik som ansvarlig for alle disse ting og udtrykker vores fulde modstand mod den.|||We consider the competition policy to be responsible for all this and are totally opposed to it.
Kommissionen bør forfølge den ulovlige støtte og den, der reelt hindrer det indre marked.|||The Commission must track down the illegal aid and the aid which actually hinders the internal market.
Derimod anses den menneskelige arbejdskraft for at være en simpel justeringsfaktor.|||Human labour, on the other hand, is considered to be a simple factor in the equation.
Hr. formand, hr. kommissær, vi skal simpelthen blot besvare to spørgsmål.|||Mr President, Commissioner, there are just two questions which must be answered.
Det kan ikke være det principielle mål for Unionens konkurrencepolitik at reducere det samlede niveau for støtten.|||The main objective of the Union' s competition policy cannot be to reduce the overall level of aid.
Men sandt nok, under hvilke forhold foregår denne forhandling, og hvilke konklusioner bør vi nå frem til?|||But let us stop to consider the circumstances in which this debate is taking place and the conclusions to which it should bring us.
(GUE/NGL). (EL) Hr. formand, endnu en gang drøfter vi EU's konkurrencepolitik.|||Mr President, once again we are debating the European Union' s competition policy.
Den nødvendige og værdifulde iværksætterånd bør gå hånd i hånd med en følelse af ansvar over for samfundet.|||The necessary and valuable spirit of initiative must be offset by a sense of responsibility towards society.
På den anden side fører tabet af hundredtusinder af arbejdspladser til en eksplosiv stigning i arbejdsløsheden.|||At the same time, unemployment is spiralling as a result of the loss of hundreds of thousands of jobs.
Medlemsstaternes hænder skal forblive synlige, når det gælder om at sætte rammer for markedet, og her skal Kommissionen være dommer.|||The state hand must still be clearly seen to regulate the market and the Commission must act as judge.
Hr. formand, kære kommissær og kære kolleger, jeg vil starte med at sige hr. Rapkay tak for en god betænkning og et godt samarbejde.|||Mr President, Commissioner, I want to begin by thanking Mr Rapkay for a good report and constructive cooperation.
Det er tre områder, hvor mange danske virksomheder har store problemer og bliver presset ud af deres marked. Jeg vil til hr.|||These are three areas in which many Danish companies are experiencing major problems and are being squeezed out of their markets.
Markedskræfterne kan ramme på forkert måde.|||Vulnerable people find themselves hardest hit.
Selvom markedet siden tidernes morgen har været menneskets privilegerede arena for handel, har det aldrig været perfekt.|||While, since the dawn of time, the market has been the key forum for human interchange, it has never been perfect.
Men som jeg allerede har nævnt, bør vores overordnede formål fortsat være gennemsigtighed og åbenhed.|||But, as I have already mentioned, our overriding objectives ought still to be those of transparency and openness.
Arbejdstagerne står over for det allerstørste angreb mod deres arbejdsmæssige og sociale rettigheder.|||Workers are facing a massive attack on their employment and social rights.
Jeg håber meget, at De, kommissær Monti, vil støtte disse forslag, og jeg ser frem til Deres kommentarer og holdning.|||I very much hope that you, Commissioner Monti, will support these amendments, and I look forward to your comments and to finding out where you stand on this matter.
Jeg har ikke hørt hr. Duisenberg kritisere de amerikanske valutamyndigheders indgreb for at redde Hedge Fund LTCM.|||I did not hear Mr Duisenberg criticising the intervention of the American monetary authorities to save the hedge fund, LTCM.
Hr. formand, vi har rejst en usædvanlig debat om konkurrencepolitik og om statsstøtte, myndighedernes højre og venstre hånd, så at sige.|||Mr President, we are holding a special debate: on competition policy and state aid, the government' s right and left hand, so to speak.
Konkurrencepolitikken har inden for sine rammer bidraget til denne begivenhed.|||The competition policy has, as far as these resources permitted, contributed to this event.
Det er forslag, som vi mener fører til gennemsigtighed og åbenhed, hvilket er meget vigtigt med henblik på at få det indre marked til at fungere.|||These are amendments which we believe will lead to transparency and openness, which is very important with a view to making the internal market work.
Den Liberale Gruppe har fremsat 80 ændringsforslag i udvalget, som alle vedrører statsstøtte.|||The Group of the European Liberal, Democrat and Reform Party has tabled 80 amendments in the committee, all concerning state aid.
Den markedsdirigerede økonomi skal på en smart måde benyttes til i størst muligt omfang at gøre brug af borgernes og virksomhedernes ansvar.|||Market forces must be employed in a sophisticated manner to do full justice to the responsibility of citizens and companies.
Der rejses offentlige midler for at reparere skaderne fra den internationale spekulation, som det har været tilfældet i Mexico, i Asien og i Brasilien.|||Public monies are used in order to repair the damage caused by international speculation, as was the case in Mexico, Asia and Brazil.
