Nu er der brug for handling.|||What is now needed is action.
Hvorfor ikke?|||Why not?
På samme måde som Sea Empress, på samme måde som Braer.|||Just as the Sea Empress, just as the Braer did.
De vil sende en gruppe af sted.|||You are going to commission a fact-finding mission.
Vi er her i dag med et kompromisforslag, og det glæder jeg mig over.|||I am pleased to see that we have today arrived at a compromise motion.
(Mødet udsat kl. 13.05 og genoptaget kl.|||(The sitting was suspended at 1.05 p.m. and resumed at 3 p.m.)
Hr. formand, fru kommissær, jeg har en lille gave til Dem.|||Mr President, Commissioner, I have brought you a small gift.
Det er faktisk det, der er formålet med den sjette stålstøtteregel.|||This, indeed, is the purpose of the sixth Steel Aid Code.
Jeg giver ordet til fru de Palacio til på vegne af Kommissionen at åbne forhandlingen.|||Mrs de Palacio will open the debate on behalf of the Commission.
Det er helt sikkert, at alle tre førte en miljøkatastrofe med sig.|||It is absolutely certain that all three left us with an ecological disaster.
Mener De endelig, at det efter Seattle er seriøst at gå ind for en øget rolle til WTO?|||Finally, after Seattle, do you really think you can advocate increasing the role of the WTO?
Vi ønsker alle de højeste standarder for skibe, uanset hvilket flag de fører.|||We all want the highest standards for ships whatever flag they may be flying.
Nogle siger, at det er den værste ulykke, der nogen sinde har ramt fuglelivet i denne del af Europa.|||Some say that it is the worst accident that has ever befallen the bird life of this part of Europe.
Hr. formand, hver gang der sker en katastrofe af denne slags, siger folk, at det aldrig må ske igen.|||Mr President, every time there is a disaster of this kind people say it must never happen again.
Her står vi igen i Parlamentet og diskuterer en ny katastrofe til søs.|||Here we are here again in this Parliament discussing yet another maritime disaster.
Den vigtigste årsag til denne nedgang i støtten er en reduceret støtte til de nye tyske delstater.|||This downturn in aid is chiefly due to the reduction in aid granted to the new German Länder.
Dette er både en transport- og en miljøkatastrofe og er ikke begrænset til et enkelt område.|||This disaster is both a transport and environmental one and is not confined to one area.
Olieforurening i Frankrig|||Oil slick off the French coast
Vi afventer resultaterne med stor interesse.|||We await the outcome with great interest.
Jeg er tilfreds med ordførerens indgangsvinkel til statsstøtten, og det vil jeg gerne rose ham for.|||I am happy with the rapporteur' s treatment of state aid and I congratulate him on this.
Under hvilke vilkår består dette kendskab?|||What are the conditions for this recognition?
Endelig er der problemet med EKSF-traktatens ophør.|||Finally, we have the problem of the consequences of the expiry of the ECSC Treaty.
Det er nødvendigt, at medlemsstaterne handler hurtigt og konsekvent.|||We need the Member States to act quickly and decisively.
Her er det reelt nødvendigt, at støttesystemet fortsætter også efter 2002.|||The aid system must effectively be continued beyond 2002.
Vi er overbeviste om det modsatte, og vi tror heller ikke, at statsstøtten pr. definition er for omfattende.|||We are convinced that the opposite is true, and we do not think that state aid is by definition excessive.
Erika kostede ingen menneskeliv, men kan have ødelagt mange menneskers levebrød.|||The Erika cost no human lives but it may have ruined many human livelihoods.
En sådan katastrofe ville næsten helt sikkert ikke kunne forekomme ud for USA's kyster.|||A disaster of this scale could almost certainly not have occurred along the American coastline, and why?
Vi har sammen med Françoise Grossetête og PPE indleveret et beslutningsforslag.|||Together with Mrs Grossetête and the PPE-DE Group, we tabled a motion for a resolution.
Jeg gentager, at havde vi haft lignende bestemmelser, ville katastrofen uden tvivl ikke have fundet sted.|||If, I repeat, we had had regulations of this type, then this disaster would surely not have occurred.
Hvilke konsekvenser har man allerede draget, eller hvilke belaver Kommissionen sig på at drage af dette?|||What conclusions has the Commission already drawn or what conclusions is it going to draw?
Næste punkt på dagsordenen er redegørelsen fra Kommissionen om olieforureningen i Frankrig.|||The next item is the Commission statement on the oil slick off the French coast.
Men jeg er bange for, at Rådet igen ikke vil handle, og så skal vi igen til at diskutere endnu en hav- og miljøkatastrofe.|||Sadly, I fear, the Council will yet again fail to act and we will be back in the future discussing yet another maritime and ecological disaster.
Ligesom ordføreren beklager jeg, at de tal, der fremlægges i betænkningen, ikke dækker hele statsstøtten.|||Like the rapporteur, I deplore the fact that the figures given in the report do not cover all state aid.
Der findes faktisk en tendens til alt for ofte at revse statsstøtten som en aktivitet, der er skadelig for konkurrencen.|||There is too often a tendency to criticise state aid harshly as a measure causing distortion in competition.
The Royal Society for the Protection of Birds mener, at helt op til 400.000 fugle, måske især lomvier, kan være døde.|||The Royal Society for the Protection of Birds believes that as many as 400,000 birds, perhaps mainly guillemots, may have died.
