Vi stemte derefter om det.|||We then put it to a vote.
Vi ved ikke, hvad der sker.|||We do not know what is happening.
Tak, hr. Segni, det gør jeg med glæde.|||Thank you, Mr Segni, I shall do so gladly.
Der var en afstemning om dette punkt.|||There was a vote on this matter.
Nu vil jeg gerne sige noget til selve sagen.|||I should now like to comment on the issue itself.
Der er endog fare for et militærkup i fremtiden.|||There is, in fact, a risk of a military coup in the future.
Det vil, håber jeg, blive behandlet i en positiv ånd.|||It will, I hope, be examined in a positive light.
Alle andre mente noget andet.|||All of the others were of a different opinion.
Det drejer sig om Alexander Nikitin.|||It is the case of Alexander Nikitin.
Et sådant dokument findes ikke!|||There is no such document!
Ifølge kommissionsformandens udsagn er de i stand til at gøre det.|||According to its President, it is in a position to do so.
Kære kolleger, vi vil undersøge alt dette.|||Mr Berenguer Fuster, we shall check all this.
Kun Deres gruppe repræsenterede det, som De siger nu.|||Your Group was alone in advocating what you are saying now.
Men, fru formand, det, som jeg havde anmodet om, er ikke sket.|||But, Madam President, my personal request has not been met.
Hver ordfører har jo lige så mange stemmer, som der er medlemmer i gruppen.|||As you know, each chairman has the same number of votes as his Group has Members.
Alt dette er i tråd med de principper, vi altid har været tilhængere af.|||This is all in accordance with the principles that we have always upheld.
Det var beslutningen.|||That was the decision.
Hvis Europa-Parlamentet er enigt, vil jeg gøre, som hr. Evans har foreslået.|||If the House agrees, I shall do as Mr Evans has suggested.
Jeg opfordrer Dem til stående at iagttage et minuts stilhed.|||Please rise, then, for this minute' s silence.
Jeg vil således endnu en gang anmode Dem om alligevel at sørge for, at vi også får en nederlandsk kanal.|||I would therefore once more ask you to ensure that we get a Dutch channel as well.
(I så fald ville det være passende, at den informerede om det.|||Either the Commission is not ready to present this programme, in which case it should clarify it.
Jeg anmoder om, at denne beslutning tages op til fornyet overvejelse, for det er ikke tilfældet.|||I would ask that they reconsider, since this is not the case.
De har udtrykt ønske om en debat om dette emne i løbet af mødeperioden.|||You have requested a debate on this subject in the course of the next few days, during this part-session.
Så vidt jeg husker, faldt denne afstemning således ud: 422 mod 180 stemmer og nogle få, der undlod at stemme.|||As I recall, the outcome of this vote was 422 votes to 180 with a few abstentions.
Som nævnt tidligere er der tale om en meget ustabil situation.|||As people have said, the situation there is extremely volatile.
Det kritiserer jeg ikke, for det sker af og til, at man lader sig repræsentere.|||I am not criticising this; it happens from time to time that people send someone to represent them.
Derfor vil vi undersøge det meget omhyggeligt, således at alt er, som det skal være.|||We shall therefore look into it properly to ensure that everything is as it should be.
Jeg må indrømme, at det hele forekommer mig lidt forvirrende i øjeblikket.|||I admit that, at present, the matter seems to be somewhat confused.
Hr. Hänsch repræsenterede Dem dér.|||Mr Hänsch represented you on this occasion.
Hvorfor er der ingen brandinstrukser?|||Why are there no fire instructions?
Fru Lynne, De har fuldstændig ret, og jeg vil kontrollere, om alle disse ting virkelig ikke er blevet gjort.|||Mrs Lynne, you are quite right and I shall check whether this has actually not been done.
Men nu er det sådan, at han skal anklages igen, fordi statsadvokaten har anket dommen.|||Now, however, he is to go before the courts once more because the public prosecutor is appealing.
Dette skal i henhold til punkt 6 indføres til trods for princippet om relativ stabilitet.|||It says that this should be done despite the principle of relative stability.
(Parlamentet iagttog stående et minuts stilhed|||(The House rose and observed a minute' s silence)
Hvorfor har Sundheds- og Sikkerhedsudvalget ikke haft et møde siden 1998?|||Why has there been no Health and Safety Committee meeting since 1998?
Jeg vil gerne have Deres råd om artikel 143 vedrørende afvisning.|||I would like your advice about Rule 143 concerning inadmissibility.
Det er uansvarligt af EU-medlemsstater at nægte at forlænge embargoen.|||It is irresponsible of EU Member States to refuse to renew the embargo.
Gennem pressen og tv vil De være bekendt med en række bombeeksplosioner og drab i Sri Lanka.|||You will be aware from the press and television that there have been a number of bomb explosions and killings in Sri Lanka.
Det er således helt i tråd med den holdning, Europa-Parlamentet altid har indtaget.|||Indeed, it is quite in keeping with the positions this House has always adopted.
(Bifald fra PSE-gruppen)|||(Applause from the PSE Group)
Hvorfor etableres der ikke områder med rygeforbud?|||Why have the staircases not been improved since my accident?
Fru formand, en bemærkning til forretningsordenen.|||Madam President, on a point of order.
Fru formand, en bemærkning til forretningsordenen.|||Madam President, on a point of order.
Kommissionen vil fremlægge programmet for år 2000 til februar.|||The Commission will present its programme for the year 2000 in February.
Mit spørgsmål omhandler et emne, der vil blive behandlet på torsdag, og jeg vil gerne tage emnet op igen ved den lejlighed.|||My question relates to something that will come up on Thursday and which I will then raise again.
Hvorfor er der ikke foretaget en undersøgelse af luftkvaliteten i denne bygning, siden vi blev valgt?|||Why has no air quality test been done on this particular building since we were elected?
Ja, fru Schroedter, jeg skal med glæde undersøge dette spørgsmål, når jeg har modtaget Deres brev.|||Yes, Mrs Schroedter, I shall be pleased to look into the facts of this case when I have received your letter.
Parlamentet bør derfor tilkendegive sin holdning, da det er flertallets ønske.|||So Parliament should send a message, since that is the wish of the vast majority.
Vi havde en udførlig debat på Formandskonferencen.|||In the Conference of Presidents, we had an in-depth discussion.
Så hvorfor skal våbenproducenter i EU profitere på bekostning af uskyldige mennesker?|||So why should EU arms producers profit at the expense of innocent people?
Ja, hr. Evans, jeg mener, at et initiativ, som det, De foreslår, ville være meget hensigtsmæssigt.|||Yes, Mr Evans, I feel an initiative of the type you have just suggested would be entirely appropriate.
Eller også er Parlamentet ikke i stand til at behandle dette program, som der vist er nogle, der påstår.|||Alternatively, Parliament is not ready to examine this programme, as some appear to be suggesting.
Hr. Barón Crespo, De kunne ikke deltage den sidste torsdag på Formandskonferencen.|||Mr Barón Crespo, you were unable to attend the Conference of Presidents last Thursday.
Genoptagelse af sessionen|||Resumption of the session
På anmodning af et fransk parlamentsmedlem, hr.|||At the request of a French Member, Mr Zimeray, a petition has already been presented, which many people signed, including myself.
Fru Plooij-van Gorsel, jeg kan oplyse Dem om, at dette spørgsmål er opført på dagsordenen for kvæstorernes møde på onsdag.|||Mrs Plooij-van Gorsel, I can tell you that this matter is on the agenda for the Quaestors' meeting on Wednesday.
Fru formand, jeg vil gerne gøre Dem opmærksom på en sag, som Parlamentet har beskæftiget sig med gentagne gange.|||Madam President, I should like to draw your attention to a case in which this Parliament has consistently shown an interest.
Det er netop dér, De - hvis De ønsker det - kan rejse dette spørgsmål, det vil sige på torsdag ved forhandlingens begyndelse.|||That is precisely the time when you may, if you wish, raise this question, i.e. on Thursday prior to the start of the presentation of the report.
Dagens beslutning om ikke at forlænge embargoen er meget farlig på grund af situationen der.|||Today's decision not to renew the embargo is extremely dangerous considering the situation there.
Derfor, fru formand, anmoder jeg Dem om at bede Kommissionen om at udtale sig nu, og at vi derefter går over til afstemning.|||Therefore, Madam President, I would ask you to request that the Commission express its opinion on this issue and that we then proceed to the vote.
I denne valgperiode igen i juli og senere, med den nye Kommission på plads, gav det igen i september hele Kommissionen et tillidsvotum.|||It did so again during this legislature, in July, and then, in September, it voted once more to approve the whole Commission.
De kompetente tjenestegrene har ikke opført dem på dagsordenen, fordi de mener, at de blev besvaret ved et tidligere møde.|||The competent services have not included them in the agenda on the grounds that they had been answered in a previous part-session.
Der har derfor været tid nok til, at Kommissionen kunne forberede sit program, og til at vi kunne få kendskab til det og forklare det til borgerne.|||There has therefore been enough time for the Commission to prepare its programme and for us to become familiar with it and explain it to our citizens.
En af de personer, der blev myrdet for ganske nylig i Sri Lanka, var hr. Kumar Ponnambalam, der besøgte Europa-Parlamentet for få måneder siden.|||One of the people assassinated very recently in Sri Lanka was Mr Kumar Ponnambalam, who had visited the European Parliament just a few months ago.
I den forbindelse vil jeg minde om beslutningen fra 15. september, hvori der blev henstillet til, at forslaget blev forelagt hurtigst muligt.|||To this end, I would like to remind you of the resolution of 15 September, which recommended that the proposal be presented as soon as possible.
Det er fuldstændig skandaløst, at vi fastsætter lovgivningsbestemmelser og så ikke overholder dem selv.|||Why are no-smoking areas not enforced? It seems absolutely disgraceful that we pass legislation and do not adhere to it ourselves.
Jeg vil gerne vide, om man kan gøre indsigelse mod noget, der bare er en betænkning og ikke et forslag til retsakt, og om det er noget, jeg kan gøre på torsdag?|||I want to know whether one can raise an objection of that kind to what is merely a report, not a legislative proposal, and whether that is something I can competently do on Thursday.
Jeg vil også minde om, fru formand, at Parlamentet to gange i foregående valgperiode ved afstemning gav udtryk for sin tillid til formand Prodi.|||I would also like to point out, Madam President, that this Parliament voted to express its confidence in President Prodi during the previous legislature.
